#SEMS Sensor Voltages
#--------------------------------------------------------
#BMI SEMS SN:  20
#BMI MCPC SN:  19
#--------------------------------------------------------
#Date	Time	Secs	SampLFEVolt	XsLFEVolt	ShLFEVolt	ImpdPVolt	PressVolt	RHVolt	TempVolt	BoardTempVolt
231031	18:16:49.290	107	1.45629883	1.60873102	1.52054144	3.25484918	4.10183654	0.03784802	3.33283716	4.53801369
231031	18:16:50.291	108	1.45706488	1.61213778	1.51635618	3.25460006	4.10157496	0.03788539	3.33259427	4.53887939
231031	18:16:51.295	109	1.45712093	1.60512496	1.51554030	3.25585813	4.10205452	0.03794767	3.33241365	4.53987589
231031	18:16:52.295	110	1.45525251	1.60460803	1.51252591	3.25474330	4.10260259	0.03737469	3.33194655	4.54076650
231031	18:16:53.298	111	1.45783716	1.61447953	1.52362434	3.25465611	4.10280189	0.03795390	3.33224550	4.54145159
231031	18:16:54.298	112	1.45783094	1.61170181	1.52091513	3.25526646	4.10191127	0.03747434	3.33221436	4.54249791
231031	18:16:55.304	113	1.45586286	1.61099804	1.51734644	3.25460629	4.10238461	0.03790408	3.33222681	4.54330133
231031	18:16:56.305	114	1.45370795	1.60618996	1.52033592	3.25495506	4.10251540	0.03821548	3.33261918	4.54429159
231031	18:16:57.304	115	1.45730778	1.61053716	1.51952627	3.25473708	4.10199224	0.03794145	3.33252576	4.54528186
231031	18:16:58.304	116	1.45607462	1.60714909	1.51918995	3.25478690	4.10242820	0.03774838	3.33246348	4.54610396
231031	18:16:59.305	117	1.45530856	1.60328145	1.51484275	3.25448172	4.10248426	0.03785425	3.33222681	4.54696344
231031	18:17:00.305	118	1.45315365	1.60344961	1.52107083	3.25489901	4.10273961	0.03768609	3.33212716	4.54787274
231031	18:17:01.314	119	1.45318479	1.60723005	1.51839276	3.25456892	4.10250294	0.03807846	3.33256313	4.54853291
231031	18:17:02.314	120	1.45513418	1.60079645	1.51803153	3.25453155	4.10187390	0.03796013	3.33246348	4.54943599
231031	18:17:03.314	121	1.45896445	1.60889295	1.52051653	3.25515436	4.10208566	0.03775460	3.33227664	4.55031414
231031	18:17:04.314	122	1.45640471	1.60735461	1.52247215	3.25458760	4.10220399	0.03777952	3.33207734	4.55103037
231031	18:17:05.316	123	1.45820462	1.60628961	1.51900934	3.25474330	4.10152513	0.03762381	3.33210225	4.55177151
